name,type,kind,power,accuracy,stamina,function_code,function_target,function_params,proc_chance,flags,description
Test Move,horny,Special,10,100%,10,increase_stage,self,"special_attack,1",0.5,,Has a 50% chance to lower the target's Attack by 1 stage.
Life Suck,villain,Special,20,100%,25,reduce_stage,target,"attack,1",0.5,,Restores the user's HP by 1/2 of the damage inflicted on the target.
Acid Spit,horny,Special,40,100%,30,,,,,,Has a 10% chance to lower the target's Special Defense by 1 stage.
Subspace Shield,rogue,Special,0,,40,,,,,,Raises the user's Defense by 2 stages.
Mortal Chop,criminal,Special,100,95%,5,,,,,,Has a high critical hit ratio.
Warp 4,rogue,Special,0,,30,,,,,,Raises the user's Speed by 2 stages.
Precise Chop,rascal,Special,55,95%,25,,,,,,Has a high critical hit ratio.
Holo Shield,rogue,Special,0,,20,,,,,,Raises the user's Special Defense by 2 stages.
Personal Truth,synth,Special,60,100%,5,,,,,,Has a 10% chance to raise all of the user's stats by 1 stage.
Biofilter,rogue,Status,0,,5,,,,,,"Every Pokemon in the user's party is cured of status conditions. Lists every Pokemon that was healed and what status condition was cured. "
Backhand,horny,Physical,30,100%,15,,,,,,Has a 30% chance to make the target flinch.
Modulated Phaser,medical,Special,65,100%,20,,,,,,Has a 10% chance to lower the target's Attack by 1 stage.
Photon Shield,synth,Special,0,,30,,,,,,Raises the user's Defense by 2 stages.
Reckless Honor,rogue,Special,0,,10,,,,,,The user maximizes its Attack but sacrifices 50% of its max HP.
Strobe Light,drunk,Physical,60,100%,25,,,,,,Has a 30% chance to make the target flinch.
Inner Strength,warrior,Special,150,90%,5,,,,,,The user recharges during its next turn; as a result until the end of the next turn the user becomes uncontrollable.
Molotov,synth,Physical,85,90%,10,,,,,,Has a high critical hit ratio and a 10% chance to burn the target.
Stun Beam,synth,Physical,85,100%,15,,,,,,Has a 30% chance to paralyze the target.
Sike,villain,Physical,65,85%,20,,,,,,Has a 10% chance to make the target flinch.
