name,biome,n,e,s,w,wild_poshimo,flags,fishing_shape,shop,description
New Vertiform City,metropolis,,,vertiform field,,,,river,test shop,A mysterious and huge city full of weirdos
Vertiform Field,grasslands,new vertiform city,heorot,vertiform river,forest of forever,,,pond,,The expansive fields around Vertiform City
Vertiform River,river,vertiform field,,,,,,river,,The river that marks the end of Vertiform Territority
Forest of Forever,forest,,vertiform field,,ktaris pointe,,,river,,A forest full of helpful spirits
Heorot,forest,,meung-sur-loire,,vertiform field,,,lake,,King Hrothgar's mead hall
Meung-sur-Loire,grasslands,,,,,,,,,Musketeer countryside
Marylebone District,town,,,,,,,pond,,A dangerous alley and a famous apartment
Prospero's Island,tropical,,,,,,,ocean,,An island for recluses
Charnock Town,town,,,,,,,pond,,Small town famous for entertainers
Parallax Colony,lunar,,,,,,,,,A colony of outcasts
Risa Water Recreation Park,tropical,,,,,,,ocean,,A wet and wild pleasure park
KTaris Pointe,mountainous,,forest of forever,,,,,river,,A perfect place to see the moon and make out
Henshaw's Stand,tropical,,,,,,,ocean,,A bar with famous drinks and a long beach
Rosseau V,lunar,,,,,,,,,Mysterious singing space rocks
Fair Haven,town,,,,,,,pond,,A romantic Irish town
Niner's Field,grasslands,,,,,,,pond,,"The stands, the concessions, the green"
Tuscany Region,grasslands,,,,,,,river,,DaVinci's workshop and the surrounding farmland
Alamo Mission,desert,,,,,,,,,An adobe church where something happened.
Boraal Caves,mountainous,,,,,,,lake,,Intricate cave system good for hiding in.
Kayak River,river,,,,,,,river,,"A mighty rushing river, full of danger"
