id,name,type,kind,power,accuracy,stamina,description
1,Pound,Normal,Physical,40,100%,35,Deals damage with no additional effect.
2,Karate Chop,Fighting,Physical,50,100%,25,Has a high critical hit ratio.
3,DoubleSlap,Normal,Physical,15,85%,10,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.
4,Comet Punch,Normal,Physical,18,85%,15,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.
5,Mega Punch,Normal,Physical,80,85%,20,Deals damage with no additional effect.
6,Pay Day,Normal,Physical,40,100%,20,The player picks up extra money after in-game battles; the money received is equal to: [user's level * 5 * number of times Pay Day is used]. The player does not lose money if the opponent uses Pay Day but the player wins the battle.
7,Fire Punch,Fire,Physical,75,100%,15,Has a 10% chance to burn the target.
8,Ice Punch,Ice,Physical,75,100%,15,Has a 10% chance to freeze the target.
9,ThunderPunch,Electric,Physical,75,100%,15,Has a 10% chance to paralyze the target.
10,Scratch,Normal,Physical,40,100%,35,Deals damage with no additional effect.
11,ViceGrip,Normal,Physical,55,100%,30,Deals damage with no additional effect.
12,Guillotine,Normal,Physical,0,30%,5,The target faints; doesn't work on higher-leveled Pokemon.
13,Razor Wind,Normal,Special,80,100%,10,The user prepares on turn one becoming uncontrollable and then attacks on turn two. Has a high critical hit ratio.
14,Swords Dance,Normal,Status,0,,30,Raises the user's Attack by 2 stages.
15,Cut,Normal,Physical,50,95%,30,Deals damage with no additional effect.
16,Gust,Flying,Special,40,100%,35,Power doubles if the target is in mid-air via Fly or Bounce.
17,Wing Attack,Flying,Physical,60,100%,35,Deals damage with no additional effect.
18,Whirlwind,Normal,s+,0,100%,20,Almost always goes last; in trainer battles the target is switched out for a random member of its team. Escapes from wild battles. Has no effect if the target has Suction Cups or used Ingrain.
19,Fly,Flying,Physical,90,95%,15,On the first turn the user flies into the air becoming uncontrollable and evades most attacks. Gust Twister Thunder and Sky Uppercut have normal accuracy against a mid-air Pokemon with Gust and Twister also gaining doubled power. The user may also be hit in mid-air if it was previously targeted by Lock-On or Mind Reader or if it is attacked by a Pokemon with No Guard. On the second turn the user attacks.
20,Bind,Normal,Physical,15,85%,20,Traps the target for 5-6 turns causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or U-Turn.
21,Slam,Normal,Physical,80,75%,20,Deals damage with no additional effect.
22,Vine Whip,Grass,Physical,35,100%,15,Deals damage with no additional effect.
23,Stomp,Normal,Physical,65,100%,20,Has a 30% chance to make the target flinch; also retains its normal accuracy and gains doubled power against Minimized Pokemon.
24,Double Kick,Fighting,Physical,30,100%,30,Strikes twice; if the first hit breaks the target's Substitute the real Pokemon will take damage from the second hit.
25,Mega Kick,Normal,Physical,120,75%,5,Deals damage with no additional effect.
26,Jump Kick,Fighting,Physical,100,95%,10,If this attack misses the target the user half of its max health in recoil damage.
27,Rolling Kick,Fighting,Physical,60,85%,15,Has a 30% chance to make the target flinch.
